time,Hip:X,Hip:Y,Hip:Z,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,Spine:X,Spine:Y,Spine:Z,Neck:X,Neck:Y,Neck:Z,Nose:X,Nose:Y,Nose:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
0,0.025711,-0.035034,0.978192,-0.118986,-0.009725,0.976516,-0.134946,0.002071,0.517354,-0.165287,0.076292,0.074121,0.172979,-0.057735,0.977725,0.17353,-0.026365,0.515504,0.202694,0.053006,0.073718,0.026185,-0.021445,1.231389,0.02657,-0.037689,1.484501,0.039345,-0.096218,1.587814,0.033848,-0.024383,1.671695,0.192624,-0.012395,1.470828,0.47909,0.008211,1.410061,0.717042,-0.059106,1.391698,-0.13218,0.000265,1.470002,-0.416691,0.03358,1.392452,-0.661681,-0.017183,1.366967
0.02,0.024456,-0.032166,0.978112,-0.120255,-0.00818,0.976558,-0.135104,0.00358,0.517123,-0.164199,0.073986,0.073037,0.171933,-0.054667,0.977189,0.171426,-0.023391,0.514978,0.200775,0.057661,0.07362,0.024684,-0.018751,1.230427,0.02526,-0.034147,1.483715,0.038497,-0.093049,1.586672,0.031953,-0.020667,1.670276,0.191411,-0.009134,1.470903,0.477733,0.013063,1.409443,0.715563,-0.055441,1.392327,-0.133372,0.003221,1.469895,-0.418408,0.036176,1.392417,-0.662902,-0.014025,1.368453
0.04,0.025183,-0.032168,0.978428,-0.119452,-0.008197,0.976274,-0.135318,0.005172,0.517189,-0.163543,0.076262,0.073041,0.172641,-0.053407,0.977382,0.170727,-0.020146,0.515314,0.199354,0.062093,0.073704,0.025441,-0.018369,1.229235,0.025868,-0.032319,1.482916,0.04035,-0.091918,1.585133,0.031998,-0.018279,1.667901,0.191074,-0.005519,1.469893,0.478319,0.015581,1.409055,0.715424,-0.055831,1.392518,-0.132696,0.002162,1.469513,-0.417155,0.03517,1.393036,-0.660779,-0.013447,1.369172
0.06,0.024925,-0.030045,0.978374,-0.120365,-0.00689,0.976568,-0.134732,0.004289,0.517562,-0.161155,0.072225,0.073525,0.172744,-0.049573,0.977308,0.170718,-0.016952,0.515337,0.198978,0.065948,0.073744,0.024989,-0.016529,1.22916,0.025919,-0.029893,1.482959,0.040341,-0.088919,1.585417,0.031006,-0.015946,1.668261,0.191314,-0.001211,1.470808,0.477658,0.023334,1.408787,0.714927,-0.048831,1.394998,-0.134305,0.004322,1.470009,-0.418616,0.037441,1.392998,-0.660747,-0.012679,1.369851
0.08,0.023823,-0.026608,0.978051,-0.121606,-0.004665,0.977848,-0.135932,0.007256,0.51823,-0.16088,0.070917,0.072441,0.171738,-0.046627,0.975719,0.169376,-0.015621,0.514291,0.198582,0.067055,0.073043,0.024213,-0.013456,1.229497,0.024804,-0.027186,1.483222,0.039373,-0.085807,1.58555,0.029076,-0.013949,1.668714,0.189525,0.000772,1.471355,0.476483,0.027563,1.408688,0.713327,-0.044376,1.39689,-0.135535,0.008119,1.468859,-0.419919,0.043266,1.391838,-0.662844,-0.007174,1.369057
0.1,0.02608,-0.030904,0.978446,-0.119552,-0.011081,0.978475,-0.134045,0.001542,0.519041,-0.160336,0.065902,0.07365,0.173699,-0.051577,0.976448,0.171697,-0.021289,0.515114,0.20016,0.060216,0.073528,0.026644,-0.017691,1.229144,0.027355,-0.030506,1.482935,0.041046,-0.090341,1.584876,0.030744,-0.017984,1.667993,0.191424,-0.003414,1.471754,0.477994,0.023406,1.409514,0.71327,-0.052618,1.398807,-0.133604,0.003666,1.469041,-0.418356,0.036916,1.39218,-0.661026,-0.01369,1.369738
0.12,0.024904,-0.026395,0.977881,-0.120833,-0.006848,0.979825,-0.134738,0.00249,0.519613,-0.161289,0.065154,0.073755,0.172603,-0.046136,0.974372,0.171875,-0.016146,0.512891,0.199845,0.062901,0.070153,0.025736,-0.013245,1.227293,0.026599,-0.02614,1.481454,0.039371,-0.086817,1.582971,0.030122,-0.012722,1.665216,0.191305,0.000239,1.4712,0.478881,0.027888,1.409552,0.713235,-0.046461,1.401475,-0.133699,0.006364,1.467924,-0.418193,0.036735,1.391631,-0.659011,-0.016522,1.368409
0.14,0.024511,-0.025558,0.977671,-0.12031,-0.005337,0.976995,-0.136484,0.007959,0.517124,-0.162189,0.067753,0.070742,0.171691,-0.047364,0.975936,0.170187,-0.015905,0.514533,0.198813,0.065292,0.073089,0.025683,-0.012077,1.225484,0.025564,-0.023632,1.479831,0.03803,-0.085627,1.580254,0.027484,-0.010987,1.662136,0.190071,0.002215,1.470495,0.479012,0.029497,1.409256,0.712276,-0.048245,1.40139,-0.134453,0.008253,1.466961,-0.419361,0.036959,1.390972,-0.661562,-0.011756,1.367891
0.16,0.024344,-0.023187,0.977637,-0.120656,-0.003023,0.976405,-0.136362,0.01186,0.517241,-0.162781,0.073913,0.071351,0.171821,-0.045083,0.975693,0.169154,-0.013474,0.514602,0.197286,0.067353,0.073134,0.025495,-0.009349,1.226258,0.025314,-0.021183,1.48047,0.037858,-0.083027,1.580957,0.028955,-0.008666,1.663267,0.189481,0.004228,1.470815,0.479062,0.032319,1.409147,0.712844,-0.043745,1.400673,-0.134773,0.010804,1.466642,-0.4195,0.038535,1.390753,-0.661845,-0.011665,1.368271
0.18,0.025369,-0.023444,0.977451,-0.120954,-0.003795,0.978699,-0.136851,0.008665,0.518493,-0.163105,0.067721,0.071925,0.173425,-0.045626,0.973905,0.171501,-0.013811,0.511902,0.197636,0.066519,0.069154,0.027162,-0.010516,1.227858,0.027403,-0.024298,1.481803,0.039482,-0.085192,1.582781,0.032376,-0.012202,1.66591,0.190222,0.001229,1.472697,0.48042,0.032077,1.410579,0.712982,-0.044985,1.402781,-0.134767,0.010664,1.466903,-0.42136,0.036995,1.391795,-0.660739,-0.017126,1.369788
0.2,0.02507,-0.023372,0.97746,-0.120184,-0.001061,0.97853,-0.136725,0.010819,0.517807,-0.163775,0.071324,0.071078,0.172231,-0.044395,0.974278,0.169584,-0.011798,0.511951,0.195697,0.069419,0.069123,0.02751,-0.007925,1.226399,0.025719,-0.018304,1.480783,0.038217,-0.079568,1.581848,0.030329,-0.004646,1.664175,0.189581,0.005169,1.470906,0.47935,0.032707,1.410369,0.712518,-0.046374,1.403086,-0.134456,0.012943,1.465356,-0.42127,0.03667,1.390936,-0.658266,-0.017034,1.367839
0.22,0.028248,-0.029474,0.978613,-0.116699,-0.010287,0.980166,-0.132331,-0.000322,0.51877,-0.162763,0.064358,0.071823,0.174442,-0.054363,0.973949,0.173089,-0.022211,0.510712,0.199703,0.056053,0.065712,0.031159,-0.01562,1.226468,0.030493,-0.02709,1.481031,0.041559,-0.089113,1.581537,0.034587,-0.013538,1.662895,0.193544,-0.005216,1.469902,0.482495,0.019789,1.409847,0.715633,-0.060853,1.402665,-0.13079,-0.000129,1.466358,-0.415514,0.018722,1.391396,-0.650758,-0.039876,1.367237
0.24,0.02505,-0.022219,0.977731,-0.120611,-0.003929,0.979796,-0.138021,0.008932,0.519194,-0.168538,0.073672,0.073535,0.172344,-0.045488,0.973885,0.169995,-0.018102,0.511093,0.198115,0.056689,0.066936,0.027412,-0.008971,1.227175,0.026573,-0.021911,1.481231,0.036958,-0.083764,1.581928,0.029092,-0.009967,1.665054,0.190432,0.002226,1.47206,0.4799,0.03175,1.411857,0.712884,-0.044262,1.406947,-0.135915,0.007986,1.467489,-0.421238,0.031276,1.392586,-0.658337,-0.025932,1.367363
0.26,0.02834,-0.027522,0.978761,-0.117733,-0.00857,0.978076,-0.134861,0.00286,0.518369,-0.164762,0.06861,0.074169,0.175488,-0.050651,0.977287,0.171634,-0.020567,0.515152,0.200187,0.056156,0.071882,0.029906,-0.014536,1.226149,0.030261,-0.027019,1.480505,0.040479,-0.088758,1.580971,0.031504,-0.011923,1.662201,0.191618,3e-05,1.470534,0.480454,0.028405,1.410442,0.713916,-0.046928,1.404455,-0.133255,0.004183,1.467864,-0.419371,0.027219,1.392406,-0.659123,-0.022722,1.367271
0.28,0.026215,-0.020324,0.978179,-0.12002,-0.002248,0.979212,-0.137075,0.011394,0.518723,-0.16567,0.07466,0.072721,0.173154,-0.044991,0.975558,0.169967,-0.016412,0.51255,0.198536,0.058052,0.067986,0.027806,-0.00771,1.226663,0.02782,-0.020427,1.480848,0.036581,-0.083135,1.581481,0.028619,-0.008181,1.663815,0.190322,0.005233,1.470479,0.479295,0.0329,1.409884,0.712781,-0.042117,1.403277,-0.134042,0.010851,1.46738,-0.420185,0.030417,1.39151,-0.65552,-0.026148,1.367916
0.3,0.028002,-0.021382,0.978065,-0.117452,-0.002617,0.979425,-0.137651,0.014078,0.518437,-0.168433,0.081621,0.072154,0.174322,-0.047563,0.974731,0.172297,-0.022414,0.511179,0.202537,0.051187,0.066545,0.028658,-0.008526,1.226836,0.028205,-0.021448,1.480896,0.036249,-0.08395,1.581579,0.02914,-0.008859,1.664016,0.190108,0.002785,1.470994,0.480383,0.031347,1.410555,0.714575,-0.042776,1.404797,-0.133993,0.008343,1.466961,-0.419607,0.030012,1.392725,-0.652753,-0.027219,1.367298
0.32,0.031398,-0.025272,0.978704,-0.114166,-0.006425,0.979857,-0.134874,0.008859,0.518498,-0.167309,0.078646,0.072391,0.177546,-0.052106,0.975465,0.174966,-0.026859,0.5119,0.205331,0.045749,0.067412,0.031302,-0.012596,1.227692,0.032016,-0.025064,1.481728,0.039283,-0.088616,1.582173,0.0321,-0.014918,1.665571,0.193064,-0.001733,1.471295,0.483135,0.027498,1.41077,0.717553,-0.047548,1.403455,-0.129921,0.004158,1.467909,-0.41551,0.024237,1.392566,-0.649046,-0.035883,1.366917
0.34,0.02949,-0.019694,0.978781,-0.116468,-0.002354,0.980582,-0.135744,0.012273,0.519024,-0.167686,0.076537,0.072237,0.175861,-0.047011,0.975207,0.172854,-0.021925,0.511792,0.203771,0.050602,0.067784,0.029087,-0.006978,1.227414,0.029555,-0.018457,1.481429,0.035388,-0.082154,1.58199,0.029167,-0.008391,1.665642,0.191837,0.001642,1.471914,0.481729,0.029683,1.411352,0.714356,-0.047359,1.403582,-0.132127,0.008829,1.46809,-0.417076,0.029159,1.391683,-0.652663,-0.030413,1.365682
0.36,0.029875,-0.01808,0.979238,-0.114624,0.001601,0.980816,-0.136288,0.012771,0.519772,-0.166734,0.076064,0.07225,0.174757,-0.048421,0.975752,0.169607,-0.020599,0.512392,0.202027,0.052975,0.06772,0.029696,-0.006468,1.226939,0.030071,-0.019978,1.481222,0.03702,-0.083048,1.580925,0.028765,-0.008628,1.663395,0.191639,0.000497,1.468846,0.480957,0.0249,1.408823,0.715042,-0.052385,1.400389,-0.130662,0.007469,1.468217,-0.414457,0.022929,1.390342,-0.65066,-0.037115,1.363818
