time,Hip:X,Hip:Y,Hip:Z,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,Spine:X,Spine:Y,Spine:Z,Neck:X,Neck:Y,Neck:Z,Nose:X,Nose:Y,Nose:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
0,-0.027905,0.026055,0.995513,-0.165806,0.006664,1.006221,-0.162823,0.0575,0.543565,-0.170753,0.160757,0.093982,0.111119,0.037712,0.979134,0.131158,0.043677,0.518945,0.15581,0.118848,0.06324,-0.023646,0.039133,1.240514,-0.014007,0.026667,1.495947,-0.031149,-0.046568,1.592337,-0.023356,0.030716,1.678954,0.149448,0.045359,1.467966,0.429723,0.068437,1.417672,0.673328,-0.004283,1.402072,-0.174235,0.065825,1.466639,-0.450865,0.106865,1.391626,-0.711278,0.061638,1.369012
0.02,-0.025156,0.031387,0.992874,-0.163055,0.012054,1.003731,-0.161102,0.063448,0.542078,-0.168653,0.164064,0.092407,0.113375,0.043608,0.976483,0.133856,0.052461,0.516786,0.158635,0.12598,0.061231,-0.021242,0.046763,1.238812,-0.012084,0.035433,1.494284,-0.028594,-0.038157,1.590682,-0.019659,0.038825,1.677648,0.152047,0.050999,1.465313,0.431958,0.075812,1.415151,0.675345,0.003499,1.40029,-0.171582,0.071475,1.464082,-0.448315,0.11338,1.389128,-0.708515,0.068798,1.366292
0.04,-0.026332,0.027968,0.995894,-0.164666,0.009804,1.005843,-0.164501,0.058038,0.543174,-0.174006,0.155799,0.092913,0.112814,0.037779,0.980508,0.133954,0.046647,0.520871,0.157799,0.115719,0.065103,-0.019329,0.042447,1.24275,-0.011282,0.025482,1.497804,-0.029631,-0.048371,1.593972,-0.023151,0.028024,1.6815,0.151614,0.042395,1.469265,0.432092,0.065863,1.417409,0.670903,-0.013754,1.403849,-0.170682,0.067766,1.467475,-0.447743,0.114017,1.389967,-0.708296,0.064196,1.368699
0.06,-0.024716,0.030936,0.992771,-0.162382,0.013313,1.003964,-0.16357,0.061845,0.542251,-0.172002,0.16036,0.092644,0.113498,0.040282,0.97746,0.136395,0.054426,0.516526,0.163513,0.132068,0.060546,-0.019158,0.048406,1.239963,-0.01135,0.038481,1.495529,-0.028524,-0.036022,1.591172,-0.022873,0.038088,1.680801,0.153931,0.045068,1.468251,0.434208,0.073987,1.415789,0.674953,0.000994,1.399167,-0.17009,0.073933,1.464787,-0.445941,0.119258,1.387806,-0.705368,0.075324,1.36506
0.08,-0.022557,0.033882,0.992619,-0.161582,0.018822,1.003172,-0.160867,0.068497,0.542377,-0.168235,0.165218,0.092825,0.115658,0.044333,0.976946,0.136478,0.054894,0.517976,0.160815,0.127885,0.063085,-0.016561,0.050411,1.241548,-0.013232,0.030413,1.496728,-0.031504,-0.04481,1.590856,-0.027021,0.026767,1.681761,0.153537,0.044434,1.470082,0.434501,0.071943,1.415941,0.674242,-0.006625,1.401528,-0.169012,0.071688,1.464082,-0.445451,0.121443,1.386269,-0.705794,0.075477,1.365915
0.1,-0.023161,0.035234,0.993911,-0.162699,0.016099,1.004659,-0.163064,0.063486,0.543044,-0.17492,0.157438,0.093799,0.115509,0.048759,0.979724,0.135417,0.056617,0.521312,0.159847,0.124871,0.065947,-0.018639,0.05122,1.243569,-0.017616,0.028838,1.498392,-0.035164,-0.046332,1.592768,-0.032339,0.024649,1.684522,0.152155,0.041174,1.474315,0.434389,0.074847,1.417891,0.674328,-0.002131,1.398609,-0.172021,0.067735,1.464803,-0.44844,0.117247,1.386882,-0.706916,0.070096,1.364175
0.12,-0.022197,0.033753,0.993498,-0.161619,0.02379,1.001932,-0.161884,0.075235,0.535503,-0.169524,0.177592,0.083019,0.117189,0.044003,0.978954,0.137752,0.055489,0.514918,0.166679,0.129994,0.058816,-0.01476,0.054421,1.243231,-0.005567,0.042136,1.498385,-0.025798,-0.034594,1.592785,-0.024671,0.035594,1.685782,0.156032,0.046365,1.471079,0.438072,0.078929,1.416912,0.675221,0.001062,1.396889,-0.16692,0.078401,1.46688,-0.445026,0.125491,1.388587,-0.703965,0.075233,1.366529
0.14,-0.021759,0.035872,0.993376,-0.161014,0.021425,1.002828,-0.159729,0.071544,0.542143,-0.166657,0.17044,0.092628,0.116945,0.050055,0.978401,0.136691,0.055499,0.519569,0.160846,0.123414,0.064898,-0.016073,0.052248,1.242938,-0.011227,0.033513,1.498031,-0.030941,-0.042106,1.591743,-0.030894,0.027407,1.685479,0.152502,0.04323,1.473425,0.434006,0.07689,1.41392,0.671976,0.001541,1.396462,-0.168534,0.070459,1.464719,-0.444227,0.11911,1.385798,-0.703302,0.070175,1.365326
0.16,-0.022784,0.032112,0.994849,-0.162628,0.014571,1.004206,-0.163552,0.063523,0.543055,-0.172332,0.158649,0.093605,0.116412,0.046663,0.98194,0.135911,0.050368,0.522843,0.161107,0.115736,0.067893,-0.018108,0.04665,1.244136,-0.013163,0.025766,1.499043,-0.031649,-0.048599,1.593841,-0.031357,0.022163,1.686509,0.149286,0.043061,1.474724,0.432676,0.072505,1.416711,0.671496,-0.004656,1.399653,-0.173161,0.066323,1.466405,-0.448928,0.114048,1.386477,-0.706204,0.066142,1.364781
0.18,-0.019963,0.035951,0.993178,-0.158812,0.024327,1.002527,-0.158879,0.072824,0.540978,-0.168197,0.171007,0.091527,0.117232,0.043258,0.978694,0.138608,0.056857,0.51855,0.164539,0.129195,0.063495,-0.013668,0.054549,1.241733,-0.009162,0.036033,1.497019,-0.02952,-0.039791,1.59118,-0.026602,0.033058,1.682849,0.149313,0.044366,1.469944,0.431044,0.0706,1.413119,0.668057,-0.011718,1.399012,-0.164735,0.07737,1.463768,-0.440514,0.128425,1.383858,-0.699364,0.07917,1.362513
