time,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,RFoot:X,RFoot:Y,RFoot:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,LFoot:X,LFoot:Y,LFoot:Z,Neck:X,Neck:Y,Neck:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
0,-0.1263,0.07047259,1.004239,-0.1534284,0.09645593,0.5335422,-0.1796415,0.1803326,0.07323111,-0.2057757,0.02949954,0.04148533,0.1195177,0.05854199,0.9724652,0.1466492,0.07367621,0.5012942,0.176184,0.1665547,0.04291706,0.19247,0.0115909,0.03016864,0.006392434,0.06728861,1.494577,0.003706292,0.01945682,1.605202,0.186652,0.09805502,1.48209,0.4763836,0.1114654,1.421414,0.7169469,0.0496034,1.403779,-0.175212,0.08780608,1.480612,-0.4617225,0.1193695,1.411901,-0.7066395,0.08377633,1.384382
0.02,-0.1263579,0.07079198,1.004235,-0.1534931,0.09665317,0.5335326,-0.1797372,0.1803584,0.07319202,-0.2057947,0.02950294,0.04148977,0.1194678,0.0589392,0.9724945,0.1466311,0.07381426,0.5013171,0.1761521,0.1665457,0.04290929,0.1924827,0.0115862,0.03016476,0.006365249,0.0678528,1.494592,0.003635935,0.0200486,1.605228,0.1866262,0.09860668,1.482095,0.4763938,0.1119652,1.421579,0.7168989,0.04980578,1.404199,-0.1752471,0.08831317,1.480646,-0.4618091,0.1197015,1.412069,-0.7067118,0.08391242,1.384678
0.04,-0.1264029,0.07122415,1.004265,-0.1535432,0.09677899,0.5335456,-0.1798221,0.1803976,0.07319128,-0.2057959,0.02952983,0.04147875,0.1194217,0.05937964,0.9725131,0.1466016,0.07392798,0.5013264,0.1761521,0.16655,0.04289837,0.1924743,0.01158823,0.03017135,0.006364,0.06838908,1.494631,0.003684962,0.02040631,1.605191,0.1866166,0.09919688,1.482145,0.4764227,0.1125215,1.421807,0.7168424,0.04996845,1.404658,-0.1752589,0.08872519,1.48064,-0.4618909,0.1199014,1.41226,-0.7067983,0.08397432,1.385092
0.06,-0.1264571,0.07148503,1.004322,-0.1535637,0.09691956,0.5335945,-0.1798498,0.180398,0.07321515,-0.2058009,0.0295318,0.04147646,0.1193703,0.05985855,0.9725117,0.1466198,0.07406713,0.5013187,0.1761746,0.1665482,0.04286246,0.1924632,0.01157963,0.03017469,0.006350583,0.06883505,1.494653,0.003683322,0.02078969,1.605186,0.1866038,0.09966666,1.482236,0.4764499,0.1129765,1.422087,0.7168238,0.05017113,1.405219,-0.1752694,0.08923646,1.48072,-0.4619523,0.1201959,1.412454,-0.7068543,0.08399636,1.385602
0.08,-0.1264677,0.07175416,1.004336,-0.1535709,0.09700934,0.5335979,-0.1798588,0.1804135,0.07320531,-0.2057894,0.02953823,0.04149326,0.1193539,0.05996883,0.9725384,0.1466204,0.07417054,0.5013461,0.1761635,0.1665454,0.04286773,0.1924569,0.01157806,0.03017165,0.006360951,0.06925855,1.494678,0.003697219,0.02123752,1.605222,0.1866095,0.1001289,1.482289,0.476496,0.113284,1.422301,0.7168418,0.05030467,1.405684,-0.1752717,0.08963893,1.480881,-0.4619633,0.1205644,1.412636,-0.7068537,0.08412179,1.386008
0.1,-0.126435,0.07215282,1.004366,-0.1535448,0.09716357,0.5336159,-0.1798398,0.180411,0.07319534,-0.2057979,0.02953845,0.04149253,0.1193869,0.06042617,0.9725497,0.1466113,0.07427732,0.5013446,0.1761716,0.166575,0.04285176,0.1924533,0.01160233,0.03020539,0.006409223,0.06992003,1.494712,0.003677208,0.02192701,1.605266,0.1866691,0.1007753,1.482451,0.4766132,0.113807,1.422715,0.7169211,0.05057402,1.406518,-0.1752426,0.09018888,1.481003,-0.461998,0.1208881,1.412924,-0.7068815,0.08418743,1.386588
0.12,-0.1263696,0.07262809,1.004405,-0.1535115,0.09723795,0.5336352,-0.179831,0.180422,0.07320449,-0.2057957,0.02955053,0.04150207,0.1194385,0.0606553,0.9725732,0.1466493,0.07440732,0.5013644,0.1761844,0.1665706,0.04284291,0.1924677,0.01159873,0.03018852,0.006462703,0.07045218,1.494746,0.003747192,0.02240902,1.605279,0.1867293,0.1013083,1.482586,0.476725,0.1141623,1.423062,0.7170171,0.05079359,1.407164,-0.175195,0.09069276,1.481073,-0.462014,0.1211749,1.413165,-0.7068815,0.08425298,1.38699
0.14,-0.1262942,0.07290243,1.004438,-0.1534447,0.09732883,0.5336589,-0.1797862,0.1804062,0.07321022,-0.2057909,0.02953489,0.04154008,0.1195133,0.06100116,0.9725744,0.1466947,0.07450519,0.5013567,0.176221,0.1665895,0.04281884,0.1924763,0.01161207,0.03019721,0.006506537,0.07097661,1.49477,0.003747958,0.0229253,1.605298,0.1867867,0.1018044,1.482741,0.4768298,0.1145358,1.423422,0.7171119,0.05106157,1.407798,-0.1751555,0.09122529,1.481166,-0.4619924,0.1215743,1.413274,-0.7068257,0.08424818,1.387354
0.16,-0.1261401,0.07336964,1.004462,-0.1533649,0.09739774,0.5336674,-0.1797501,0.1803998,0.07320758,-0.2057804,0.02953689,0.04151814,0.1196605,0.06141714,0.9725657,0.1467683,0.07456938,0.5013339,0.1762256,0.1666053,0.04278182,0.1924546,0.01162021,0.03022012,0.006574348,0.07149277,1.494782,0.003869425,0.02336204,1.605277,0.1868721,0.102258,1.482857,0.4769541,0.1148462,1.423698,0.7172153,0.05123946,1.408291,-0.1750906,0.09169576,1.481149,-0.4619878,0.1217458,1.413379,-0.7067958,0.08417068,1.387579
0.18,-0.1259499,0.0739025,1.004484,-0.1532627,0.09747973,0.5336717,-0.1797172,0.1803793,0.07319739,-0.2057645,0.0295168,0.04152016,0.1198407,0.06170808,0.9726018,0.1468618,0.07462854,0.5013585,0.1762308,0.166619,0.04279168,0.1924949,0.01163906,0.03021267,0.006626768,0.07204604,1.494819,0.003888435,0.02388715,1.605301,0.1869427,0.1027286,1.482955,0.4770627,0.1151382,1.423945,0.717301,0.05140497,1.408706,-0.1750382,0.09223407,1.481165,-0.4619723,0.1219689,1.413412,-0.7067293,0.08398391,1.38773
