time,Hip:X,Hip:Y,Hip:Z,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,Spine:X,Spine:Y,Spine:Z,Neck:X,Neck:Y,Neck:Z,Nose:X,Nose:Y,Nose:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
0,-0.105413,-0.159422,1.042771,-0.229033,-0.160116,1.051277,-0.233438,-0.134657,0.605648,-0.238192,0.005146,0.175306,0.02017,-0.165675,1.030416,0.050371,-0.112704,0.58617,0.094066,-0.033804,0.144267,-0.096772,-0.155489,1.277559,-0.089999,-0.159783,1.536603,-0.109514,-0.253438,1.612456,-0.101412,-0.170468,1.690047,0.059447,-0.16119,1.481488,0.32184,-0.127535,1.420683,0.561512,-0.184015,1.404803,-0.231556,-0.095213,1.484981,-0.485333,-0.04438,1.422393,-0.734088,-0.047044,1.400881
0.02,-0.098346,-0.144418,1.04094,-0.222924,-0.143143,1.048801,-0.22966,-0.117067,0.600519,-0.232699,0.02115,0.167817,0.028108,-0.150962,1.029273,0.056344,-0.099071,0.580312,0.106978,-0.007896,0.13889,-0.091257,-0.14132,1.278828,-0.084665,-0.144278,1.538228,-0.10474,-0.238463,1.615518,-0.096538,-0.156862,1.694355,0.066012,-0.14616,1.48236,0.330143,-0.112306,1.420974,0.569619,-0.168717,1.405474,-0.226676,-0.080712,1.485571,-0.485267,-0.038657,1.423848,-0.735067,-0.043459,1.402317
0.04,-0.09247,-0.132126,1.038599,-0.212924,-0.11902,1.043583,-0.2292,-0.106244,0.593992,-0.230408,0.023434,0.158115,0.026786,-0.151638,1.031068,0.04304,-0.126178,0.58194,0.096037,-0.022988,0.142466,-0.087119,-0.129532,1.278003,-0.086696,-0.143623,1.537247,-0.107262,-0.238313,1.614883,-0.100192,-0.155691,1.69247,0.070293,-0.16433,1.482885,0.28151,-0.217934,1.428444,0.515059,-0.269783,1.40866,-0.218227,-0.068852,1.484705,-0.47027,0.002887,1.419564,-0.720686,0.000588,1.39713
0.06,-0.078101,-0.099261,1.032729,-0.204095,-0.100192,1.040641,-0.220063,-0.07916,0.587387,-0.219676,0.058669,0.151161,0.048264,-0.104003,1.022762,0.074556,-0.05498,0.568365,0.124083,0.037508,0.123979,-0.067805,-0.099519,1.275509,-0.063944,-0.104841,1.535243,-0.084858,-0.201204,1.613967,-0.079433,-0.123005,1.695564,0.089712,-0.106221,1.47934,0.346431,-0.081269,1.411288,0.577467,-0.138705,1.393445,-0.208317,-0.041636,1.481466,-0.469002,-0.001476,1.417489,-0.719515,-0.011836,1.395737
0.08,-0.089372,-0.127572,1.03562,-0.216524,-0.125838,1.04023,-0.228221,-0.092557,0.58313,-0.234651,0.03554,0.144272,0.036767,-0.131491,1.029068,0.05561,-0.102504,0.568078,0.101672,-0.017053,0.122015,-0.082996,-0.12991,1.280587,-0.086804,-0.149049,1.539104,-0.106676,-0.244361,1.617317,-0.101831,-0.166461,1.699048,0.077576,-0.160603,1.496511,0.301836,-0.204623,1.429374,0.538867,-0.252943,1.408884,-0.227223,-0.076422,1.49275,-0.486557,-0.017171,1.423398,-0.738693,-0.019613,1.40234
0.1,-0.068677,-0.078752,1.028516,-0.19686,-0.077682,1.033584,-0.206096,-0.044209,0.576338,-0.216367,0.077377,0.135369,0.056876,-0.08511,1.021227,0.076443,-0.050642,0.56364,0.121907,0.030483,0.116064,-0.063324,-0.083862,1.275547,-0.065496,-0.103552,1.534,-0.084233,-0.198585,1.613227,-0.080369,-0.122574,1.695955,0.095308,-0.112016,1.494675,0.334646,-0.1229,1.422632,0.566717,-0.189275,1.40225,-0.210569,-0.031686,1.481975,-0.473911,0.00643,1.419574,-0.724821,-0.003216,1.400096
0.12,-0.093964,-0.140506,1.039344,-0.223407,-0.137555,1.043089,-0.224362,-0.089219,0.582426,-0.240628,0.027169,0.140248,0.027928,-0.163952,1.034397,0.058825,-0.103387,0.570165,0.104937,-0.036164,0.119523,-0.089299,-0.137925,1.288718,-0.087804,-0.14595,1.547087,-0.106163,-0.239734,1.62715,-0.105421,-0.164235,1.710935,0.075536,-0.160546,1.496592,0.276219,-0.245955,1.440835,0.464435,-0.392457,1.426356,-0.222014,-0.070359,1.499632,-0.477554,0.015799,1.429042,-0.73077,0.018306,1.40606
0.14,-0.074018,-0.09059,1.032328,-0.198242,-0.078885,1.03576,-0.206145,-0.045888,0.57246,-0.214515,0.080748,0.132746,0.048824,-0.106813,1.028255,0.073092,-0.065707,0.56388,0.120736,0.00977,0.114475,-0.067525,-0.094583,1.28165,-0.067551,-0.107709,1.540084,-0.08846,-0.202669,1.619742,-0.089166,-0.13058,1.706602,0.093305,-0.128127,1.497515,0.28272,-0.230402,1.434354,0.469609,-0.370944,1.422444,-0.210354,-0.032006,1.492843,-0.470158,0.027578,1.420581,-0.722512,0.02877,1.39906
0.16,-0.062028,-0.067664,1.0292,-0.185787,-0.054,1.033035,-0.195238,-0.027422,0.5717,-0.200965,0.094995,0.130668,0.058934,-0.086767,1.024726,0.076259,-0.053469,0.56455,0.124852,0.030012,0.117165,-0.062293,-0.068962,1.277174,-0.06157,-0.077748,1.536173,-0.080959,-0.169882,1.617117,-0.081955,-0.095874,1.702695,0.099413,-0.097941,1.497276,0.31559,-0.159891,1.42832,0.533388,-0.24861,1.41062,-0.199942,-0.004915,1.487299,-0.463687,0.040598,1.418113,-0.716068,0.040302,1.39832
0.18,-0.067806,-0.082248,1.028982,-0.194259,-0.078432,1.03439,-0.208549,-0.053896,0.572285,-0.217348,0.066745,0.129296,0.056409,-0.088673,1.022905,0.077557,-0.054196,0.557441,0.123033,0.019512,0.107281,-0.066266,-0.082421,1.276283,-0.065912,-0.093562,1.535382,-0.086308,-0.18692,1.615937,-0.085621,-0.110298,1.699037,0.095623,-0.109071,1.492474,0.313304,-0.16354,1.423524,0.547306,-0.22244,1.404874,-0.206185,-0.024489,1.487412,-0.468756,0.023145,1.417182,-0.72092,0.024322,1.398414
