time,RHip:X,RHip:Y,RHip:Z,RKnee:X,RKnee:Y,RKnee:Z,RAnkle:X,RAnkle:Y,RAnkle:Z,RFoot:X,RFoot:Y,RFoot:Z,LHip:X,LHip:Y,LHip:Z,LKnee:X,LKnee:Y,LKnee:Z,LAnkle:X,LAnkle:Y,LAnkle:Z,LFoot:X,LFoot:Y,LFoot:Z,Neck:X,Neck:Y,Neck:Z,Head:X,Head:Y,Head:Z,LShoulder:X,LShoulder:Y,LShoulder:Z,LElbow:X,LElbow:Y,LElbow:Z,LWrist:X,LWrist:Y,LWrist:Z,RShoulder:X,RShoulder:Y,RShoulder:Z,RElbow:X,RElbow:Y,RElbow:Z,RWrist:X,RWrist:Y,RWrist:Z
-0.005320072,-0.1315685,0.06901035,1.0093,-0.14693,0.1078871,0.6019547,-0.3968914,0.1805281,0.06088145,-0.1980155,0.03171874,0.04045425,0.1183176,0.05835475,0.9628776,0.1487537,0.07693594,0.4990126,0.1768991,0.1609402,0.04920508,0.2045672,0.005810947,0.02488099,0.01156073,0.06843565,1.474957,-0.170769,0.01927084,1.609136,1.01662,0.1001656,1.487222,0.2655911,0.1149331,1.428661,0.7215104,0.05516392,1.402983,-0.1892891,0.08194872,1.474608,-0.4697167,-0.2058066,1.554381,-0.9858788,0.07945877,1.329691
0.01605675,-0.4428752,0.07152046,1.074062,-0.1580289,0.01997425,0.5016425,-0.166529,0.1813803,0.07590325,-0.2086177,0.03459239,0.04087036,0.1245789,0.06246762,1.090276,0.1404485,0.06786334,1.79589,0.1785421,-0.01493885,0.04776058,0.1971213,0.1320443,-0.1078335,0.006620318,0.06703471,1.204072,-0.2195159,0.0188232,1.607065,0.1869022,0.1114497,1.486599,1.029274,0.12534,1.425782,1.253973,0.04536258,1.396649,-0.2443597,0.09413246,1.479614,-0.4597977,0.1077563,1.405129,-0.6983231,0.09223438,1.388227
-0.1006982,-0.128963,0.06913839,0.999941,-0.1474937,0.09996869,0.5324765,0.09070569,0.1733453,0.07015055,-0.2107534,0.03113978,0.04038815,0.1232135,0.07400668,0.9823331,0.3191347,0.06626874,0.7286216,0.1810402,0.1690498,0.04573975,0.196958,-0.01825887,-0.3321025,0.4099824,0.07460603,1.499652,0.003886597,0.01809385,1.604519,0.1925053,0.09584874,1.485817,0.3207355,0.1157401,1.420609,0.7248191,0.0441995,1.394494,-0.1834096,0.09065355,1.482301,-0.4590288,0.1271351,1.411478,-0.7051777,0.03786228,1.797493
0.06124766,-0.1259682,0.07264146,1.001073,-0.1631924,0.09494305,0.5379804,-0.1858153,0.1817678,0.07480861,-0.2071202,0.02263948,0.4919448,0.1257025,0.1565966,1.3043,-0.04767648,0.06883527,0.4995525,0.1803376,0.1681635,0.04974367,0.1930363,0.008505262,0.03974904,-0.359484,0.0703266,1.493345,-0.269549,0.01600318,1.608705,0.1330639,0.2738051,1.482746,0.4720183,0.1107497,1.426939,0.7164807,0.04833433,1.402697,-0.1766534,0.6224226,1.486055,-0.4571859,0.1211503,1.413985,-0.7057347,0.06928843,1.380829
0.5737839,-0.1546053,0.2017,1.011405,-0.1458449,0.09675969,0.5298399,-0.1825242,0.1782815,0.07958062,0.01418749,0.02894105,0.03973148,0.1259765,0.0554813,0.9823431,0.1592531,0.8452526,0.5012386,0.1806339,0.1698472,-0.2091152,0.1866727,0.3127715,-0.09009483,0.002663456,0.06497996,1.199691,0.008587754,0.03225527,1.52482,0.1923266,0.1008979,1.483665,0.480074,0.1094493,1.840961,0.7152056,0.06417802,1.405593,-0.167638,0.09403564,1.812678,-0.1396203,-0.2174998,1.422979,-0.70314,0.07842397,1.36268
0.2653513,-0.1329091,0.06988975,1.35533,-0.1545642,0.09829431,0.5451899,-0.1820224,0.2569152,0.07707959,-0.2094775,0.03273318,0.02998079,0.1193308,0.06304986,0.9676934,0.1447669,0.07412738,0.5001597,0.1749899,0.1704194,0.2101495,0.1965746,-0.06028958,0.03710702,0.0118962,0.05982757,1.489946,0.1165448,0.02929436,1.513645,0.1895125,0.1023275,1.482526,0.9397817,0.5832008,1.422902,0.7113265,0.002735074,1.41162,-0.4650663,0.08750979,1.482387,-0.462276,0.1253505,1.409105,-0.7026157,0.0938179,1.387106
0.1265323,-0.1253784,0.4236747,1.002474,-0.1625675,0.09591744,1.136984,-0.178266,0.1690009,0.08407068,-0.214253,-0.03459765,0.04339718,0.1234554,0.05740494,0.9678422,1.042174,0.07323335,0.4992153,0.3959746,0.1719805,0.03890235,0.1881896,-0.05566738,0.03116135,0.005268667,0.06797852,1.4972,0.001558967,0.0223912,1.560578,0.1830545,0.1079814,1.529886,0.4716084,0.1118098,1.423867,0.5813659,-0.1645136,1.892475,-0.1661583,-0.1744958,1.470619,-0.4561041,-0.008811832,1.41392,-0.7001072,0.08292554,1.380557
0.4620515,-0.1308419,0.06847213,1.007602,-0.1538226,0.09404828,0.5398613,-0.369408,0.1784885,0.09733656,-0.1978788,0.03268199,0.0391294,0.1180745,0.3734788,0.9680682,0.1446847,0.07046003,0.5036269,0.1803032,0.1722082,-0.3626688,0.1995074,0.01401639,0.03277596,0.007470703,0.075854,1.489323,0.003127713,-0.1861161,1.606242,0.1906158,0.09966124,1.481478,0.7737503,0.117464,1.431777,0.7141923,0.05328981,1.40568,0.562273,0.08842703,1.490418,-0.4646875,0.116783,1.418826,-0.7055401,0.08819748,1.390975
0.168197,-0.1158953,0.0702768,1.002489,-0.1588177,0.09505484,0.5295731,-0.1866945,0.155476,0.07427493,-0.1990531,0.03771444,0.04617463,0.1150019,0.06198208,0.6578181,0.1348671,-0.1237948,0.5023006,0.06740196,-0.03696477,0.6183568,0.1839181,0.01611727,0.04111528,0.003676065,0.5372552,1.505305,0.001908968,0.02117728,1.612746,0.7418296,0.09797166,1.473994,0.4754174,0.1073767,1.424588,0.72647,0.05163568,1.40762,-0.416223,-0.01901985,1.486207,-0.4579092,0.1367582,1.412271,-0.1128191,0.07378872,1.391783
0.173312,-0.1266699,0.07445349,0.9960617,-0.1537424,0.08495235,0.5420758,-0.1731706,0.1871288,0.08233859,0.2403349,0.02863584,0.04082206,0.07741744,0.06731809,0.9687912,0.1527238,0.07521498,0.5011135,0.1650651,0.1714176,0.1860087,0.1916049,0.01625202,0.02495773,-0.2222534,0.07280291,1.498105,0.001285613,0.03390836,1.603853,0.1460192,0.09828049,1.477713,0.4730127,0.1099802,1.422185,0.7234578,0.05595238,1.397988,-0.1706718,0.09581462,1.473995,0.1598173,0.2466454,1.444017,-0.7180194,0.08193187,1.392864
